,Date,Open,High,Low,Close,Volume
0,2022-06-09,140.1500,141.0400,137.9300,137.9600,3592551
1,2022-06-08,142.0700,142.8000,140.1500,140.8300,3005666
2,2022-06-07,142.6000,142.9800,140.9600,142.7800,2887051
3,2022-06-06,142.9800,144.7300,142.0000,142.8800,4767100
4,2022-06-03,140.2600,142.5794,139.7400,141.1800,4352213
5,2022-06-02,139.4500,140.2900,136.8500,140.1500,3734812
6,2022-06-01,139.6700,140.4699,138.5200,139.4300,3796488
7,2022-05-31,138.2000,139.8300,136.8100,138.8400,7978053
8,2022-05-27,137.3900,139.7394,137.2400,139.2700,4608215
9,2022-05-26,135.0000,137.5500,134.5200,136.8900,3929338
10,2022-05-25,132.8600,134.8200,132.8600,134.3900,3299303
11,2022-05-24,130.5700,134.3700,130.4200,133.8000,4189723
12,2022-05-23,129.5000,131.9500,129.4200,131.1700,3591511
13,2022-05-20,130.1800,130.3700,125.8000,128.4800,6914458
14,2022-05-19,132.0000,132.3200,128.7100,129.6600,5819664
15,2022-05-18,137.1000,137.6150,132.1700,132.9400,6003015
16,2022-05-17,137.1900,138.3700,135.6400,138.3700,4372909
17,2022-05-16,133.1000,136.5100,132.4100,135.0300,4250395
18,2022-05-13,133.0000,133.8000,131.0500,133.6000,4195218
19,2022-05-12,131.2700,133.6200,130.4100,132.9000,5384809
20,2022-05-11,129.8600,132.9600,129.8600,130.7500,5301131
21,2022-05-10,135.0000,135.4100,128.4300,129.1300,8642398
22,2022-05-09,134.4100,136.3450,133.3150,134.4400,7647933
23,2022-05-06,135.4700,137.9900,135.4700,137.6700,7306396
24,2022-05-05,136.4600,137.2600,134.7600,135.9200,5957434
25,2022-05-04,132.8700,137.8700,132.1400,137.4000,5913705
26,2022-05-03,133.0000,133.6000,131.9900,132.5200,3688574
27,2022-05-02,133.0000,133.7700,130.8900,133.0400,4213477
28,2022-04-29,135.1300,135.5545,132.0000,132.2100,5078660
29,2022-04-28,136.8500,136.9900,134.8100,135.7400,4477068
30,2022-04-27,135.7800,137.1200,134.6300,135.0600,4369052
31,2022-04-26,139.0000,139.8700,136.1700,136.1900,4887395
32,2022-04-25,137.5900,139.6500,135.1900,139.1000,5748289
33,2022-04-22,139.7000,140.4399,137.3500,138.2500,6508599
34,2022-04-21,138.2300,141.8800,137.3500,139.8500,9922349
35,2022-04-20,135.0000,139.5600,133.3800,138.3200,17770306
36,2022-04-19,126.0800,129.4000,126.0000,129.1500,7971361
37,2022-04-18,126.6000,127.3899,125.5300,126.1700,4884150
38,2022-04-14,128.9300,130.5800,126.3800,126.5600,6384180
39,2022-04-13,125.6400,126.6700,124.9100,126.1400,3064918
40,2022-04-12,126.4200,127.3400,125.5835,125.9800,2690998
41,2022-04-11,127.9500,128.1750,126.1800,126.3700,3202545
42,2022-04-08,128.0100,128.7800,127.2700,127.7300,3143309
43,2022-04-07,128.8700,129.2499,126.7300,128.5500,3538317
44,2022-04-06,127.7800,129.5150,127.2500,129.3900,3958057
45,2022-04-05,129.8500,131.2300,128.6600,128.8900,3102238
46,2022-04-04,130.2600,130.4500,128.9300,130.2700,2811100
47,2022-04-01,129.6600,130.2700,128.0600,130.1500,4012373
48,2022-03-31,130.7200,131.8800,130.0000,130.0200,4274029
49,2022-03-30,132.0100,133.0800,131.3900,132.1300,2622860
50,2022-03-29,132.0400,132.8400,130.4300,131.9400,5791032
51,2022-03-28,130.8200,131.5000,129.6000,131.4700,2483492
52,2022-03-25,129.5000,131.4000,129.3100,131.3500,3516923
53,2022-03-24,128.3300,129.3700,127.8000,129.2500,2971075
54,2022-03-23,129.0800,129.3200,128.2500,128.3000,2924535
55,2022-03-22,128.5000,129.3000,127.8500,129.0600,2649026
56,2022-03-21,129.0000,129.7400,127.4000,128.1000,3379393
57,2022-03-18,127.3800,128.9300,126.3700,128.7600,7400216
58,2022-03-17,127.1000,128.2900,126.5300,127.9600,3671903
59,2022-03-16,126.5000,127.2842,124.7100,127.0400,4292845
60,2022-03-15,124.0000,125.9398,123.2200,125.6400,4021228
61,2022-03-14,124.4500,125.1600,122.6850,123.9400,3289440
62,2022-03-11,125.0000,126.7700,123.9100,123.9600,4119630
63,2022-03-10,125.7500,126.0300,123.1250,124.3500,5326835
64,2022-03-09,127.4100,128.1000,125.9100,126.2200,4403499
65,2022-03-08,126.6200,128.3450,124.8200,125.6800,4887565
66,2022-03-07,126.4700,127.9050,125.6200,126.0700,5047358
67,2022-03-04,124.4000,127.3500,124.2103,126.6200,4402911
68,2022-03-03,124.9600,126.6650,124.2351,125.9300,5206649
69,2022-03-02,122.5900,124.6400,121.8000,123.8600,4891435
70,2022-03-01,122.6700,123.3900,120.7000,121.3500,4873331
71,2022-02-28,122.2100,123.3851,121.0388,122.5100,6757332
72,2022-02-25,122.0500,124.2625,121.4500,124.1800,4460904
73,2022-02-24,120.0000,122.1000,118.8100,121.9700,6563202
74,2022-02-23,124.3800,124.7000,121.8700,122.0700,4086367
75,2022-02-22,124.2000,125.0000,122.6800,123.9200,5306688
76,2022-02-18,124.9400,125.4400,123.6100,124.3500,4609212
77,2022-02-17,128.0500,128.5000,124.8500,124.9700,6796997
78,2022-02-16,129.4500,130.4400,128.2600,129.1800,4875612
79,2022-02-15,130.6400,131.6800,129.6100,129.9400,4395714
80,2022-02-14,132.5900,132.6500,129.0700,130.1500,5345289
81,2022-02-11,133.9000,134.7099,132.3800,132.6900,4176155
82,2022-02-10,135.4700,136.5600,133.1700,133.5200,5978640
83,2022-02-09,137.8400,138.3500,136.8300,137.7900,5393478
84,2022-02-08,137.2300,137.5200,135.7800,137.0200,4181825
85,2022-02-07,137.4500,137.8223,136.2700,137.2400,3759046
86,2022-02-04,137.8600,138.8200,136.2150,137.1500,4142045
87,2022-02-03,137.0000,138.7600,135.8310,137.7800,6100777
88,2022-02-02,135.7000,137.5550,135.2600,137.2500,5357237
89,2022-02-01,133.7600,135.9600,132.5000,135.5300,6206448
90,2022-01-31,134.0900,134.0900,132.3000,133.5700,5859043
91,2022-01-28,133.1900,134.5300,131.7900,134.5000,5471497
92,2022-01-27,133.6600,134.7500,132.0800,132.5200,5499566
93,2022-01-26,136.4700,137.0700,133.1300,134.2600,8335992
94,2022-01-25,129.1400,137.3361,128.3000,136.1000,19715698
95,2022-01-24,127.9900,129.1500,124.1930,128.8200,13777648
96,2022-01-21,131.6500,131.8700,129.2700,129.3500,5906950
97,2022-01-20,131.2600,132.8800,130.5705,130.8200,5278244
98,2022-01-19,132.9000,133.9000,131.5000,131.5800,4099035
99,2022-01-18,132.9500,133.8900,131.7800,132.9400,5236258
